state,state population,ethnicity,gender,age group,group population
SD,814180,NavAm,Male,18-19,1455
TN,6346105,NavAm,Male,18-19,314
TX,25145561,NavAm,Male,18-19,3149
UT,2763885,NavAm,Male,18-19,712
VT,625741,NavAm,Male,18-19,50
VA,8001024,NavAm,Male,18-19,490
WA,6724540,NavAm,Male,18-19,2010
WV,1852994,NavAm,Male,18-19,63
WI,5686986,NavAm,Male,18-19,1050
WY,563626,NavAm,Male,18-19,235
PR,3725789,NavAm,Male,18-19,323
AL,4779736,NavAm,Male,20,214
AK,710231,NavAm,Male,20,1051
AZ,6392017,NavAm,Male,20,3033
AR,2915918,NavAm,Male,20,169
CA,37253956,NavAm,Male,20,3336
CO,5029196,NavAm,Male,20,493
CT,3574097,NavAm,Male,20,87
DE,897934,NavAm,Male,20,35
DC,601723,NavAm,Male,20,21
FL,18801310,NavAm,Male,20,625
GA,9687653,NavAm,Male,20,271
HI,1360301,NavAm,Male,20,48
ID,1567582,NavAm,Male,20,177
IL,12830632,NavAm,Male,20,396
IN,6483802,NavAm,Male,20,176
IA,3046355,NavAm,Male,20,132
KS,2853118,NavAm,Male,20,284
KY,4339367,NavAm,Male,20,75
LA,4533372,NavAm,Male,20,258
ME,1328361,NavAm,Male,20,62
MD,5773552,NavAm,Male,20,180
MA,6547629,NavAm,Male,20,221
MI,9883640,NavAm,Male,20,555
MN,5303925,NavAm,Male,20,666
MS,2967297,NavAm,Male,20,125
MO,5988927,NavAm,Male,20,253
MT,989415,NavAm,Male,20,584
NE,1826341,NavAm,Male,20,162
NV,2700551,NavAm,Male,20,260
NH,1316470,NavAm,Male,20,30
NJ,8791894,NavAm,Male,20,284
NM,2059179,NavAm,Male,20,1955
NY,19378102,NavAm,Male,20,1021
NC,9535483,NavAm,Male,20,970
ND,672591,NavAm,Male,20,379
OH,11536504,NavAm,Male,20,200
OK,3751351,NavAm,Male,20,2632
OR,3831074,NavAm,Male,20,530
PA,12702379,NavAm,Male,20,246
RI,1052567,NavAm,Male,20,64
SC,4625364,NavAm,Male,20,166
SD,814180,NavAm,Male,20,694
TN,6346105,NavAm,Male,20,168
TX,25145561,NavAm,Male,20,1490
UT,2763885,NavAm,Male,20,353
VT,625741,NavAm,Male,20,30
VA,8001024,NavAm,Male,20,255
WA,6724540,NavAm,Male,20,973
WV,1852994,NavAm,Male,20,27
WI,5686986,NavAm,Male,20,509
WY,563626,NavAm,Male,20,126
PR,3725789,NavAm,Male,20,180
AL,4779736,NavAm,Male,21,182
AK,710231,NavAm,Male,21,969
AZ,6392017,NavAm,Male,21,2845
AR,2915918,NavAm,Male,21,179
CA,37253956,NavAm,Male,21,3191
CO,5029196,NavAm,Male,21,449
CT,3574097,NavAm,Male,21,104
DE,897934,NavAm,Male,21,24
DC,601723,NavAm,Male,21,22
FL,18801310,NavAm,Male,21,610
GA,9687653,NavAm,Male,21,237
HI,1360301,NavAm,Male,21,65
ID,1567582,NavAm,Male,21,198
IL,12830632,NavAm,Male,21,345
IN,6483802,NavAm,Male,21,136
IA,3046355,NavAm,Male,21,108
KS,2853118,NavAm,Male,21,286
KY,4339367,NavAm,Male,21,91
LA,4533372,NavAm,Male,21,260
ME,1328361,NavAm,Male,21,78
MD,5773552,NavAm,Male,21,208
MA,6547629,NavAm,Male,21,219
MI,9883640,NavAm,Male,21,479
MN,5303925,NavAm,Male,21,553
MS,2967297,NavAm,Male,21,144
MO,5988927,NavAm,Male,21,212
MT,989415,NavAm,Male,21,570
NE,1826341,NavAm,Male,21,141
NV,2700551,NavAm,Male,21,247
NH,1316470,NavAm,Male,21,32
NJ,8791894,NavAm,Male,21,284
NM,2059179,NavAm,Male,21,1699
NY,19378102,NavAm,Male,21,1013
NC,9535483,NavAm,Male,21,902
ND,672591,NavAm,Male,21,339
OH,11536504,NavAm,Male,21,181
OK,3751351,NavAm,Male,21,2583
OR,3831074,NavAm,Male,21,461
PA,12702379,NavAm,Male,21,266
RI,1052567,NavAm,Male,21,43
SC,4625364,NavAm,Male,21,178
SD,814180,NavAm,Male,21,654
TN,6346105,NavAm,Male,21,177
TX,25145561,NavAm,Male,21,1440
UT,2763885,NavAm,Male,21,330
VT,625741,NavAm,Male,21,13
VA,8001024,NavAm,Male,21,279
WA,6724540,NavAm,Male,21,912
WV,1852994,NavAm,Male,21,20
WI,5686986,NavAm,Male,21,470
WY,563626,NavAm,Male,21,126
PR,3725789,NavAm,Male,21,136
AL,4779736,NavAm,Male,22-24,549
AK,710231,NavAm,Male,22-24,2771
AZ,6392017,NavAm,Male,22-24,7893
AR,2915918,NavAm,Male,22-24,499
CA,37253956,NavAm,Male,22-24,9015
CO,5029196,NavAm,Male,22-24,1466
CT,3574097,NavAm,Male,22-24,281
DE,897934,NavAm,Male,22-24,90
DC,601723,NavAm,Male,22-24,66
FL,18801310,NavAm,Male,22-24,1752
GA,9687653,NavAm,Male,22-24,803
HI,1360301,NavAm,Male,22-24,181
ID,1567582,NavAm,Male,22-24,510
IL,12830632,NavAm,Male,22-24,1023
IN,6483802,NavAm,Male,22-24,403
IA,3046355,NavAm,Male,22-24,237
KS,2853118,NavAm,Male,22-24,695
KY,4339367,NavAm,Male,22-24,224
LA,4533372,NavAm,Male,22-24,727
ME,1328361,NavAm,Male,22-24,192
MD,5773552,NavAm,Male,22-24,513
MA,6547629,NavAm,Male,22-24,499
MI,9883640,NavAm,Male,22-24,1362
MN,5303925,NavAm,Male,22-24,1550
MS,2967297,NavAm,Male,22-24,373
MO,5988927,NavAm,Male,22-24,619
MT,989415,NavAm,Male,22-24,1611
NE,1826341,NavAm,Male,22-24,481
NV,2700551,NavAm,Male,22-24,770
NH,1316470,NavAm,Male,22-24,80
NJ,8791894,NavAm,Male,22-24,771
NM,2059179,NavAm,Male,22-24,4995
NY,19378102,NavAm,Male,22-24,2861
NC,9535483,NavAm,Male,22-24,2553
ND,672591,NavAm,Male,22-24,959
OH,11536504,NavAm,Male,22-24,545
OK,3751351,NavAm,Male,22-24,6955
OR,3831074,NavAm,Male,22-24,1334
PA,12702379,NavAm,Male,22-24,648
RI,1052567,NavAm,Male,22-24,142
SC,4625364,NavAm,Male,22-24,521
SD,814180,NavAm,Male,22-24,1801
TN,6346105,NavAm,Male,22-24,451
TX,25145561,NavAm,Male,22-24,3968
UT,2763885,NavAm,Male,22-24,984
VT,625741,NavAm,Male,22-24,51
VA,8001024,NavAm,Male,22-24,770
WA,6724540,NavAm,Male,22-24,2564
WV,1852994,NavAm,Male,22-24,79
WI,5686986,NavAm,Male,22-24,1326
WY,563626,NavAm,Male,22-24,335
PR,3725789,NavAm,Male,22-24,475
AL,4779736,NavAm,Male,25-29,1022
AK,710231,NavAm,Male,25-29,3963
AZ,6392017,NavAm,Male,25-29,11740
AR,2915918,NavAm,Male,25-29,786
CA,37253956,NavAm,Male,25-29,14936
CO,5029196,NavAm,Male,25-29,2370
CT,3574097,NavAm,Male,25-29,428
DE,897934,NavAm,Male,25-29,142
DC,601723,NavAm,Male,25-29,124
FL,18801310,NavAm,Male,25-29,2929
GA,9687653,NavAm,Male,25-29,1353
HI,1360301,NavAm,Male,25-29,212
ID,1567582,NavAm,Male,25-29,755
IL,12830632,NavAm,Male,25-29,1826
IN,6483802,NavAm,Male,25-29,644
IA,3046355,NavAm,Male,25-29,379
KS,2853118,NavAm,Male,25-29,1095
KY,4339367,NavAm,Male,25-29,403
LA,4533372,NavAm,Male,25-29,1168
ME,1328361,NavAm,Male,25-29,319
MD,5773552,NavAm,Male,25-29,843
MA,6547629,NavAm,Male,25-29,798
MI,9883640,NavAm,Male,25-29,2039
MN,5303925,NavAm,Male,25-29,2375
MS,2967297,NavAm,Male,25-29,564
MO,5988927,NavAm,Male,25-29,902
MT,989415,NavAm,Male,25-29,2254
NE,1826341,NavAm,Male,25-29,687
NV,2700551,NavAm,Male,25-29,1275
NH,1316470,NavAm,Male,25-29,103
NJ,8791894,NavAm,Male,25-29,1317
NM,2059179,NavAm,Male,25-29,7454
NY,19378102,NavAm,Male,25-29,4376
NC,9535483,NavAm,Male,25-29,4088
ND,672591,NavAm,Male,25-29,1428
OH,11536504,NavAm,Male,25-29,793
OK,3751351,NavAm,Male,25-29,11559
OR,3831074,NavAm,Male,25-29,2020
PA,12702379,NavAm,Male,25-29,1027
RI,1052567,NavAm,Male,25-29,231
SC,4625364,NavAm,Male,25-29,778
SD,814180,NavAm,Male,25-29,2712
TN,6346105,NavAm,Male,25-29,745
TX,25145561,NavAm,Male,25-29,6648
UT,2763885,NavAm,Male,25-29,1471
VT,625741,NavAm,Male,25-29,60
VA,8001024,NavAm,Male,25-29,1220
WA,6724540,NavAm,Male,25-29,3938
WV,1852994,NavAm,Male,25-29,130
WI,5686986,NavAm,Male,25-29,2064
